start_time,duration
2025-04-22T23:21:50,0
2025-04-24T22:12:26,0
2025-04-24T22:34:47,17
2025-04-24T23:52:26,505
2025-04-25T00:09:04,0
2025-04-25T00:18:47,0
2025-04-25T00:23:15,0
2025-04-25T00:25:29,0
2025-04-25T00:19:48,1500
2025-04-25T01:13:33,0
2025-04-25T23:50:05,0
2025-04-26T11:50:49,304
2025-04-27T21:30:45,323
2025-04-29T22:34:48,136
2025-05-04T08:07:24,0
2025-05-04T08:15:04,0
2025-05-04T08:30:06,0
2025-05-04T14:57:37,0
2025-05-04T15:10:13,577
2025-05-04T15:58:19,579
2025-05-04T16:33:10,70
2025-05-04T16:59:30,3
2025-05-08T14:10:53,0
2025-05-08T14:18:32,0
2025-05-08T14:26:58,0
2025-05-08T14:29:02,57
2025-05-08T14:34:48,0
2025-05-08T16:25:21,0
